code,name
LIB,Interlocking Shoot Bolt  #
LID,LED Indicator
LIL,Lens ( indicator light)
LIS,Light Switch
LIT,Monitor Lights / Electric Lamp
LLC,Locating Casting #
LLD,Load Line Decal
LMS,"Locking Mechanism, sill to end frame"
LPA,"Locking Pin, Aluminium (End Frame to Side Rail)"
LPL,Lock Stop Retaining Latch #
LPP,"Locking Pin, end frame to side rail"
LPS,"Locking Pin, sill to corner fitting"
LQB,Liquid Line Securing Brackets
LQF,Liquid Line Securing Bracket Fixings
LQL,Liquid Line
LSA,Cargo Secure Device Assembly
LSB,Lashing Bar
LSC,Stacking Cone Assembly #
LSR,Lashing Ring
MAD,Door Address Decal #
MAF,Condenser Fan Motor Fixings
MAO,Evaporator Motor (1 Speed) #
MAP ,Air decal plate 
MAS,Motor
MAT,Evaporator Motor (2 Speed) #
MAX,Compressor Motor - Alternative Type #
MBS,Motor Bearing Shield
MCA,Caution Marking
MCC,Country Code
MCE,ACEP Marking
MCH,Chassis
MCN,Decals Control Box
MCO,Cargo Container
MCS,Class Survey Marking
MCU,Customers Markings
MCW,Width Caution Marking
MDH,Document Holder
MEB,Decals Electrical Box
MEC,Decals Cable Area
MEL,Electrical Hazard Decal
MFH,FHWA Plate/Decal
MFS,"Markings, Full Set"
MHC,High Cube Strips
MHT,Height Marking
MIM,Other Compressor Motor Parts
MIN,Others (motor)
MIN,Collapsible Flatrack Instruction Decal
MIS,ID Marking Set
MKE,Motor -Elec Connections Condenser Motor  #
MKF,Motor -Bolts Cond Motor #
MKS,Motor -Condenser Fan Motor  #
MLO,Manufacturers Logos
MMF,Decals Main Frame
MMI,Mass Marking
MOA,Owner's Logo -Door Logo Decal - Genstar #
MOB,Owner's Logo -Genstar Side Logo #
MOC,Owner's Code
MOD,Owner's Logo -Door Logo Decal - Seaco #
MOE,Owner's Logo -Seaco Side Logo Red Flash #
MOF,Owner's Logo -Seaco Side Logo #
MOL,Owner's Logo
MPC,Customs Plate
MPD,Consolidated Data Plate
MPI,PTI decal( sticker)
MPL,Cargo Label Plate
MPM,Manufacturer's Plate
MPO,Owner's Plate
MPR,Decals Condenser Receiver Area
MPS,CSC Plate
MPT,Tank Plate
MQA,Decals Compressor Area
MRA,R409A Decal #
MRB,R134A Decal #
MRC,Remote Monitor Holder Cap and Chain
MRK,Reefer Markings
MRM,Remote Monitoring Module
MRP,Remote Monitoring Plug
MRR,Remote Monitoring Receptacle
MRU,"Markings, Other"
MSD,Markings Single Digit
MSN,Serial Number & Checkdigit
MST,Size/Type Marking
MSW,Decals Switch Panel
MTT,Timber Chemical Treatment
MUI,UIC Decal
MVE,Evaporator Motor -Elec Connections #
MVF,Evaporator Motor - Bolt #
MVP,Decals Evaporator Panel
MVS,Evaporator Fan Motor  #
OCH,"Oil Charge, Compressor"
OCM,Compressor Oil - Mineral
OCP,Compressor Oil - POE
ONS,Oxygen/Nitrogen Separator
ONV,Oxygen/nitrogen Valve
ORL,Outrigger Flange #
OXS,Oxygen Sensor
PAA,Panel Assembly
PAF,Panel Frame
PAL,Panel - Aluminium
PAS,Panel - Outer - Stainless Steel
PAT,Panel Transverse Section
PBH,Panel - Behind Hinge
PBK,Bulkhead
PBT,Battens in Insulated Panel
PDK,Delamination repair kit
PDL,Partlow Door Latch
PDR,Partlow Door Lifter
PEP,Panel Edge Profile
PFX,Panel - Fixing Strip
PHC,Port Hole Collar
PIC,Panel Inner Cladding
PIM,Insulation Material
PIN,Side Panel Assembly - Interior - Stainless Steel
PIP,Panel - Inner Face
PIS,Panel-Internal Stiffener
PJC,Panel-Joint Capping
PJP,Panel-Joint Profile
PKK,Piston Pak
PLA,Post Locking Bolt Assembly
PLB,Post Locking Bolt
PLH,Post Locking Bolt Handle #
PLL,Post Locking Bolt Latch
PLM,Plug (Modified Atmosphere)
PLN,Post Locking Bolt Latch Screw
PLR,Post Locking Bolt Bracket
PLS,Post Locking Screw
PMC,Pipe Clamp #
PMI,"Piping, Other"
PNS,Null Set Switch
POA,Port/plug Assembly
POC,Panel-Outer Cladding
POL,Overload Protection Switch
POM,Port (Modified Atmosphere)
POP,Panel - Outer Face
POS,Panel - Outer - Muffler Grade Steel #
POT,Potential Transformer
PPM,Panel - Plymetal
PPO,"Oil Pump, Compressor"
PPW,Panel - Plywood Lining
PRC,Wheels and tyres ( PSI automatic airing system)
PRG,Pressure Regulator
PRH,High Pressure Relief Valve
PRI,Internal Rivets
PRL,Low pressure relief valve
PRO,Discharge pressure regulator 
PRS,Phase Reversal Device
PRV,Panel Assembly - Rivet / Fixing
PSC,Panel - Steel Corrugated
PSF,Flat Steel Panel
PSL,Scuff plate/lining
PSS,Power Saving Switch
PST,Panel Assembly - Steel
PTA,"Piston, Compressor"
PTB,"Piston Ring, Compressor"
PTR,"Piston Rod, Compressor"
PUM,"Motor Pulley, Compressor"
PUQ,Compressor Pulley
PVA,Valve Plate
QAS,Open Compressor without Motor
QBF,Compressor Holding Down Bolts
QBP,Compressor Base Plate
QBS,Compressor Base
QDA,Compressor Vibration Damper
QMI,Other Compressor Devices
QPF,Cable Guard Fixings  #
QPG,Compr. Prot. Enclosure/Provision Cable
QPS,Cable Guard Small
QSS,Shaft Seal
RAA,Roof Complete Including Bows
RAL,Rail Assembly - Aluminium
RBG,Cornerprotect plate large #
RBH,Roof Bow Holder
RBO,Roof Bow
RBP,Roof Bow Pin
RBS,Roof Bow Securing Device
RCB,Recording Chart Batteries
RCC,Recorder Chart Nut/Chain
RCF,Reefer Container - Frame
RCG,Roof Corner Gusset - Steel
RCH,Recording Chart
RCI,Rail Cone Protector Recess
RCK,Cam Keeper
RCL,Recorder Clock
RCM,Door Curtain Assembly
RCN,Recorder Chart Nut HKG5  #
RCP,Recording Chart Plate
RCR,Recorder Mechanism
RCS,Recorder Chart Switch
RCU,Unloading Relay
RDE,Defrost Relay
RDP,Rail - Doubling Plate
REC,Temperature Recorder
REF,Evap Fan Fail Relay
REL,"Relay, mother board"
RFA,Refrigerant R134A Charge
RFC,Cooling Relay
RFN,Refrigerant R409A Charge
RFS,Refrigerant r-23 system
RFT,Refrigerant R12 Charge
RHL,Rear Header Latch
RHR,Heating Relay
RIR,In Range Relay
RIW,Rail - Inner Web
RKC,Recorder Key Holder
RKH,Condenser Fan High Speed Relay
RKL,Condenser Fan Low Speed Relay
RKY,Recorder Key/Chain
RLA,Rail - Assembly
RLB,Top side rail (Bolted Type) #
RLC,Bottom side rail CONSANI #
RLE,Exterior of Multi-piece Rail
RLF,Rail - Lower Flange
RLG,Rail - Gusset
RLI,Interior of Multi-piece Rail
RLL,Rear Header-hinge Lug
RLR,Top Rail Rivet
RLS,Side Protection Beam assy #
RLT,Rail - Whole Section
RLW,Rail - Web
RMR,Remote Monitoring Relays
RNG,Rain Gutter
ROA,Overload Relay - CF & EF #
ROL,Overload Relay
ROM,Overload (O/L 1 & 3) 2.8 Amp
RON,Overload (O/L 2 & 4) 1.9 Amp
ROT,Rotor
RPC,Partial Cool Relay
RPP,Piggy Packer Rail
RPR,Phase Reversal Relay
RPS,Roof Panel Assembly - Steel
RPU,"Relay, micro processor"
RQQ,Compressor Cooling Relay (Quench)
RRM,"Recess, Mofified Atmos. Curtain Eqm  #"
RRT,Removable/Swinging Header
RRV,"Reed/Ring Valve, Compressor Motor"
RSA,Refrigerant System Complete
RSB,Reefer Brand Image (RTSI 20) #
RSC,Reefer Service Charge
RSG,Cornerprotect plate small #
RSS,SSR Relay
RTL,Gooseneck tunnel rail
RTM,Timer Relay
RTS,Rotary Switch
RUF,Rail - Upper Flange
RUP,Rail - Doubler Plate
RVH,Evaporator Fan High Speed Relay
RVL,Evaporator Fan Low Speed Relay
RWB,Water Box
RWP,Wing Plate
SAA,"Sidewall, Complete"
SAB,Supply Air Push Button
SAM,Ambient Sensor 
SBR,Side Bar
SBS,Side Bar Socket
SBX,Stacking Cone Box  #
SCA,Stacking Cone - Fliplock assembly
SCB,Stacking Cone - Fliplock pivotbar
SCC,Fixed/Removable Stacking cone and chain
SCD,Twistlock Chain  #
SCE,Twistlock and Chain  #
SCF,Twistlock Handle #
SCG,Fliplock pivotbar brackets #
SCH,Stanchion Chain Hook
SCO,Switch Condenser fan  on-off
SCS,Short Post Top Corner Casting
SDI,Compressor discharge Sensor
SDT,Defrost Termination Switch
SEA,Sealer( for joimimg components)
SER,Recorder Sensor Return Air
SES,Recorder Sensor Supply Air
SFT,"Shaft, Compressor"
SGA,Side Gate Assembly
SGF,Side Gate Frame
SGI,Moisture Indicator
SGL,Liquid Sight Glass
SGL,Sight Glass Condenser
SGM,Side Gate Mesh
SGO,"Oil Sight Glass, Compressor"
SGP,Side Gate Pin
SGS,"Oil Sump Gasket, Compressor"
SHL,Switch hig -low speed condenser motor
SHR,"Housing /socket probe, return "
SHU,Switch humidity control
SKC,Condenser coil Sensor
SLC,Stanchion Lashing Chain
SLG,Stacking Legs
SLI,Liquid Line Sensor
SLS,Stanchion Lashing System
SMC ,Systematic Maintenance Check 
SMD,Manual Defrost
SMN,On/Off Main Switch / Elec.On/Off Switch
SNB,Snubber
SOK,Override Delay Switch Knob #
SOR,Remote monitoring plus
SPI,Side Post - Inner
SPK,Condensor Pressure Switch
SPO,Side Post - Outer
SPR,Probe Switch
SPS,Set Point Selector (digital)
SPW,Water-Cooled Pressure Switch
SRA,Sensor Return Air
SRE,Record Sensor Probe
SRS,Snap Ribbon Seal
SRT,"Sensor, Temperature"
SRW,"Sensor, Water"
SSA,Control Sensor (Supply Air)
SSF,"Gasket, Crankshaft Assembly"
SSP,Super Freeze Probes
SST,Stanchion Socket
SSU,Compressor suction sensor
SSY,Thermistor (Simpson) Sensor
STA,Stator
STC,Stanchion
STF,Stiffener/Splitter
STL,Stylus Lifter
STP,Stanchion Pocket
STS,Two speed switch
STY,Regulation Stylus
SVA,Voltage Selector Switch (1 Speed) #
SVB,Voltage Selector Switch (2 Speed) #
SVC,Voltage Selector Switch Handle (1 Speed) #
SVD,Voltage Selection Switch Door
SVE,Voltage Selector Switch Handle (2 Speed) #
SVH,Volt. Selection Switch Door Hinge
SVK,Voltage Selection Switch Knob
SVS,Voltage Selection Switch
SWB,"Switch boot , on-off switch"
SWP,Switch Plate
SYJ,Thermistor (Simpson) Jack
TBA,6 -way Terminal Block
TBB,8 -way Terminal Block
TBC,26 -way Terminal Block
TBE,Bent Tube (Return-Tube)
TCI,Top Coving Interior
TDF,Defrost Timer
TDI,Temperature Display
TFA,T-Floor Assembly
TFB,T-Floor Angle Bar
TFC,T-Floor Casting
TFD,T-Floor Drain
TFF,T-Floor Plate
TFG,T-Floor Gutter
TFH,T-Floor Baffle Plate Hinge
TFI,T-Floor Strip
TFL,Transformer Cover
TFM,Power Transformer
TFP,T-Floor Plank
TFS,T-Floor End Seal
THE,Dial Set Point Thermostat
TIC,TIR Cord
TID,TIR Disc
TIM,Regulation Timer
TIN,Inlet Tubing
TIR,TIR Cord Ring
TLS,Liquid line support 
TMB,Compressor Terminal Box
TMC,Comp Terminal Box - Cover
TMF,Terminal Mounting Kit Compressor - 5 terminal kit #
TMG,Comp Terminal Box - Gland
TMP,Terminal Mounting Plate
TMS,Terminal Mounting Kit Compressor - 6 terminal kit #
TMT,Thermostat
TNA,Tarpaulin Assembly
TNB,Tarpaulin Belt
TNC,Tarpaulin Rubber Cord
TNG,Tarpaulin Grommet
TNS,Tarpaulin Customs Seal Point
TNX,Tarpaulin Fixing Strip
TOU,Outlet Tubing
TPH,Tarpaulin Pinhole
TPI,Straight Tube
TPN,T-Floor Drain Pan
TRB,Transformer Base
TRC,Transfresh Valve Cap (PLM)
TRF,"Transformer, Control Circuit"
TRL,Top Rail - Steel
TRR,Transfresh Valve Outer Ring  #
TRV,Transfresh Valve / Port Complete (POA)
TSB,"Support bracket , pipe system"
TSC,Reefer Check Socket
TSH,Tube Sheet Distributor
TSS,Temperature Simulator Switch
TSW,Operation Test (Toggle) Switch
TTU,Thermometer Insertion Port
TUA,Tunnel Assembly
TUB,Tunnel Bolster
TUC,Tunnel Crossmember
TUP,Tunnel Plate
TXD,Expansion Valve Door
TXH,Expansion Valve Door Hinge
TXI,Expansion Valve Insulation
UAA,Understructure Complete
UFK,Underfloor Drain Kazoo
VAP,Evaporator Access Panel
VBA,Suct Line Bypass Valve
VBK,"Suction by pass valve, repair kit"
VBP,Evaporator Access Panel Alternative type #
VBS,Suct Line Bypass Valve - Solenoid
VCC,SSV / DSV Connector Cap
VCC,SSV connector Cap #
VCD,DSV Connector Cap #
VCK,"Check Valve, discharge"
VCL,Charge Port Low Side Cap
VCS,LL Service Valve Connector Cap #
VCX,"Solenoid coil, any"
VDC,Discharge Service Valve Cap
VDG,Dis Serv Valve Gauge Connection
VDH,Evap Door Hinge - Plastic
VDI,Discharge Service Valve
VDL,"Door Latch , evaporator door"
VDS,Evap Door Hinge - Stainless
VEA,Expansion Valve -Expansion Valve (011) #
VEB,Expansion Valve -Expansion Valve (012A) #
VEC,Expansion Valve -Expansion Valve (010A) #
VEE,"Txv, economiser scroll units"
VEX,Expansion Valve
VFA,Evap Fan Motor (EFM-1) RHS
VFB,Evap Fan Motor (EFM-2) LHS
VFC,Evap Fan Motor - Bracket
VFD,Evaporator Fan Motor - Bracket Fixings
VFE,Evaporator Fan Motor (#1) RHS #
VFH,Evap Fan Housing
VFI,Refrigerant Inlet Valve
VFO,Refrigerant Outlet Valve
VFV,Evap Fan Venturi
VGA,Hot-Gas Modulating Valve
VGB,Hot-Gas Modulating Valve Body
VGC,Evaporator Access Panel Gasket - SC8 Bottom #
VGD,Hot Gas Mod Valve Diode
VGE,Evaporator Access Panel Gasket - SC8 Top #
VGF,"Evaporator Access Panel Gasket - SC9,10 Bottom #"
VGH,Evaporator Access Panel Gasket - Bottom #
VGI,Evaporator Access Panel Gasket - End #
VGJ,Evaporator Access Panel Gasket - Top #
VGK,Evaporator Access Panel Gasket - SC8 End #
VGS,Hot-Gas Modulating Valve Solenoid
VHA,Evap Fan Housing - LH Model 011 #
VHB,Evap Fan Housing - LH Model 012 #
VHC,Evap Fan Housing - LH Model 009 #
VHD,Evap Fan Housing - RH Model 009 #
VHL,Evap Fan Housing - LH #
VHR,Evap Fan Housing - RH #
VIB,Vibrabsorber
VJT,Joint between components
VKC,King Valve Cap / Service Cap
VLC,Liquid Line Serv Valve Cap
VLL,Liquid Line Service Valve
VLP,Evaporator Access Panel - Lh Side ( Air Exch) #
VLS,Liquid Line Solenoid Valve
VLT,Liquid Line Valve - Solenoid
VMA,Suction Modulating Valve
VMB,Modulation Valve Body
VMC,Suction Mod Valve - Solenoid
VMG,Service Valve Gasket
VMI,Other Evaporator Devices
VMQ,KVQ Valve ##
VMR,Valve - Actuator ##
VMS,Modulation Valve Solenoid
VOR,Oil Relief Valve #
VPA,Hot Gas Pulse Valve
VPS,Hot Gas Pulse Valve - Solenoid
VQA,Quench Valve
VQB,Quench Valve Body
VQS,Quench Valve Solenoid
VQX,Quench expansion valve
VRA,Ventilator Assembly
VRB,Ventilator Baffle
VRG,Ventilator Grid
VRP,Evaporator Access Panel - Rh Side (W/O Air Exch) #
VRR,Ventilator Cover
VSA,Suction Solenoid Valve
VSB,Suction Solenoid Body
VSC,Suction Service Valve Cap
VSD,Suction Service Valve-2 Speed Comp #
VSE,Suction Solenoid Valve - Lower #
VSG,Suction Service Valve Gauge Connection
VSL,Charge Port Low Side / Suction Line Service Valve
VSO,Suction Service Valve-1 Speed Comp #
VSP,Suction Solenoid Valve - Part #
VSS,Suction Valve Solenoid
VST,Suction Solenoid Valve - Upper #
VSU,Suction Service Valve
VTH,Throttling Valve
VVA,Valve Axle (Rod)
VVD,Valve Disk
VVF,Valve Foil
VVG,Valve Gasket
VVH,Valve Handle
VVI,Valve Ring
VVP,Valve Spring
VVR,Valve Retainer Cam
VVS,Valve Handle Seal
VWI,Water Inlet Valve
VWO,Water Outlet Valve
VXP,Evaporator Access Panel -Evaporator Panel (Incl Air Exch) #
WCC,Water Cooled Condenser #
WCD,Water Cooled Condenser Drain Tap
WEM,"Wiring, Evaporator fan motor"
WIH,Overheat Protection Switch (Klixon) Wiring #
WIR,Electrical Wiring
WRA,Wiring for air probe
WSA,"Wiring , discharge probe"
WTK,Water Tank (Humidification etc)
WVS,Wiring for evaporator temperature sensor
XCE,Exterior Refurbishment - Complete excl underside #
XCR,Exterior Sides & U/side (Transmo)  #
XCU,Exterior Refurbishment - Complete incl underside #
XCX,Exterior Refurbishment - Sides only #
XFR,Exterior Refurbishment - Front Only #
XLR,Exterior Refurbishment - Left & Right sides only #
XRF,Exterior Refurbishment - Roof only #
XRR,Exterior Refurbishment - Rear only #
XSU,Exterior Refurbishment - Sides & Underside #
XSW,Exterior Refurbishment - One side only #
XUS,Exterior Refurbishment - Underside only #
XXX,Component - None
YAA,AAR Markings
YAB,Airline Valve - Ball
YAC,"Airline Valve Cap (1.5"") #"
YAD,"Airline Valve Cap(2"") #"
YAE,"Airline Valve (1.5"") Flanged #"
YAF,"Airline Valve (2"") Flanged #"
YAG,Airline Valve / Tank Gasket
YAP,Airline Pipe
YAS,Airline Valve - Ball Seating
YAT,"Airline Valve (1.5"") Screwed #"
YAU,"Airline Valve (2"") Screwed #"
YAV,Air Valve
YAW,Welded-in Flange / Airline Valve 
YBA,Baffle
YBB,Bottom Outlet Valve / Foot Bolts
YBC,Tank Spill Box Cover
YBD,Bottom Outlet Ball Valve - Ball
YBF,Blind Flange
YBG,Bottom Outlet Valve / Foot Gasket
YBH,Baffle Holder
YBK,Bottom Outlet Butterfly Valve - Closure Plate Seat Ring
YBL,Bottom Outlet Valve Handle
YBM,BAM Marking
YBO,Bottom Outlet Butterfly Valve - 'O' Ring
YBP,Bottom Outlet Butterfly Valve - Closure Plate
YBR,Bottom Outlet Ball Valve - Ball Seat Ring
YBS,Bottom Outlet Butterfly Valve - Spindle
YBT,Bottom Outlet Valve TIR Tab
YBV,Bottom Outlet Valve Assembly
YBW,Welded-in Flange / Bottom Outlet Valve 
YCA,Airline Valve Cap
YCC,Calibration Chart
YCD,Cladding Support
YCF,Flame arrestor - cowl type #
YCG,Airline Valve Cap Seal
YCI,Inspect and Issue Clean Certificate
YCO,Coupling
YCR,Cladding Strap Rivets
YCS,Tank Cladding Strap
YCT,CTC Markings
YCU,Tank Custom Seal
YDC,Tank Drain Tube Crosswire #
YDF,Document Holder Fixing Bolts
YDG,Document Holder Cap and Chain
YDH,Document Holder Tank
YDI,Diptube
YDO,DOT Markings
YDR,Diagonal Brace
YDT,Tank Draining Tube
YDV,Steam Trap
YEA,Earth (Ground) Connection Marking
YEB,Remote Trip Bracket
YEC,Earth (Ground) Connection
YED,Remote Trip Warning Decal
YEF,Top Outlet Valve / Tank Bolts
YEG,Remote Trip - Cable Guard
YEH,Electrical Heating Element
YEJ,Top Outlet Valve / Gasket
YEL,Remote Trip Operating Handle
YEM,Emergency Closure Remote Control
YER,Remote Trip - Cable Guard Fixings
YET,Heating Element Terminal Block
YEU,Top Ext. Valve Assembly
YEV,External Valve Assembly
YEW,Electrical Wiring Marking
YEX,Gas Tank/Excess Flow Valve
YFA,Bottom Outlet Valve Spigot Flange
YFB,Bottom Outlet Valve Blind Flange
YFC,Bottom Outlet Valve Cap & Chain
YFD,Bottom Outlet Valve / Blank Bolts
YFE,Bottom Outlet Valve / Blank Gasket
YFF,Frame Fasteners
YFG,Bottom Outlet Valve Cap Seal
YFH,Foot Valve Operating Lever
YFJ,Foot Valve / Tank Gasket
YFK,Bottom Outlet Foot Valve - Seat Ring
YFL,Welded Flange
YFM,Flame arrestor - maxi Hi-flow #
YFN,Bottom Outlet Foot Valve - Spring
YFO,Bottom Outlet Foot Valve - 'O' Ring
YFP,Bottom Outlet Foot Valve - Pressure Plate
YFR,FRA Markings
YFS,Frame Strap
YFT,Relief Valve Flame Trap
YFU,FLA Plate
YFV,Foot ValveAssembly
YFW,Remote Trip - Cable
YGA,Foot Valve Gasket
YGB,Foot valve Gasket(Ball- Foot valve) #
YGC,Inspect and Issue Gas Free Certificate
YGD,Foot valve Bolts(Ball- Foot valve) #
YGE,Foot valve Bolts(Plate - Ball Valve ) #
YGF,Saf. Valv. Hi-Flow PTFE seals #
YGH,Bottom Oulet / Foot Valve Bolts
YGJ,Top Outlet B'fly Valve Seal Kit #
YGP,Foot valve Gasket(Plate - Ball Valve ) #
YGV,Foot valve Bolts(Foot valve - Tank) #
YGV,Saf. Valv.Hiflow Viton seals #
YHA,Hand Rail Assembly
YHC,Heating Element Cap
YHD,Manlid Fasteners
YHE,Head
YHR,Horizontal Rail
YIC,Insulation Cladding
YID,Elec. Heat Instruction Decal
YIG,Cladding - GRP
YIN,Insulation
YIR,Insulation - Rockwool
YIS,"Internal Safety Valve, Gas Tank"
YIZ,Cladding - Stainless Steel
YLA,Ladder
YLG,Ladder Grip Handle
YLI,Tank Lining
YLN,Level Indicator
YLO,Lock to Close/Seal Spill Box
YLT,Load Transfer Area
YMA,Manometer / Pressure Gauge
YMB,Manlid Hinge Bracket
YMC,Manhole Cover (Manlid)
YMD,Manhole Dipstick
YME,Manway Dipstick Handle
YMF,Manhole Flange
YMG,Manlid Gasket
YMH,Manhole Assembly
YMI,Manlid cover 6 sw. bolts type #
YMJ,Manlid Handle
YMK,Manway Swingbolt Handnut
YML,Manway Swingbolt Lugs
YMO,Manlid Hinges
YMP,Frame Strap Mounting Pad
YMQ,Manlid cover 8 sw. bolts type #
YMR,Manhole Dipstick Holder
YMS,Manometer Step Guard
YMT,Manlid TIR Tab
YMU,Manlid Gasket Seating
YNT,Tank Shell Interior
YOH,Tank Overheating Fusiable Link
YOM,Operator Marking
YPA,Airline Valve Pad
YPB,Bottom Outlet Valve Pad
YPI,Safety Relief Valve - Inner Pressure Spring
YPM,Product Marking
YPO,Safety Relief Valve - Outer Pressure Spring
YPP,Product Plate Holder
YPR,Pressure Relief Valve PAd
YPT,Top Outlet Valve Pad
YPV,Spacer
YRD,Tank Rupture Disc Holders
YRG,Bursting disc gasket  #
YRI,RID/ADR Markings
YRM,Tank Safety Release Manometer
YRT,RTMD Markings
YRU,Tank Rupture Disc
YSA,Saddle
YSB,Tank Spill Box Hinge
YSC,Inspect and Issue Safety Certificate
YSE,Steam Heating Tubes
YSH,Shell
YSI,Steam Inlet/Outlet
YSK,Skirt
YSL,Tank Steam Line Cap
YSN,Sun Shield
YSP,Tank Spill Box
YSQ,Tank Spill Box TIR Tab
YSR,Safety Relief Flange
YST,Stiffening Ring
YSU,Sump
YSV,Tank Steam Safety Valve
YSW,Welded-in Flange / Safety Relief Valve 
YTA,Tank Date Plate
YTB,Top Outlet Valve Blind Flange
YTC,Top Outlet Blind Flange Gasket
YTD,Top Outlet Blind Flange Bolts
YTE,Top Outlet Valve / Tank Bolts
YTF,Tank Frame
YTG,Frame Gusset/Stiffener
YTH,Top Outlet Valve Operating Handle
YTI,Top Outlet Valve TIR Tab
YTJ,Top Outlet Valve / Tank Gasket
YTK,Spark Test
YTL,"Leak Test (Barrel, Valves & Fittings)"
YTM,Tank Thermometer
YTN,Top Outlet 10 inch Valve 
YTO,Top Outlet Valve Assembly
YTP,Top Outlet Valve / Blank Gasket
YTQ,Safety Relief Valve Gasket
YTR,Tank Safety Relief Valve
YTS,Sun Shield Support
YTT,2.5 Year Statutory Test
YTV,Sample Valve Assembly
YTW,Thermometer Receptacle
YTX,5 Year Statutory Test
YUF,Vapor Flange
YUI,UIC Markings
YVC,Bottom Valve Compartment
YVH,Bottom Valve Compartment Hinge
YVL,Bottom Valve Compartment Cover
YVP,Vertical Post
YVS,Safety Relief Valve - Vacuum Spring
YVT,Bottom Valve Compartment TIR Tab
YWA,Walkway
YWB,Walkway / Replace Large  #
YWC,Walkway / Replace Medium  #
YWD,Walkway / Replace Small #
YWF,Walkway Fittings
YWM,Walkway Mount Bracket
YWN,Tank Washing Nozzles
YWT,Welded-in Flange / Top Outlet 10 inch Valve 
YXB,Top Outlet Ball Valve - Ball
YXC,Top Outlet Ball Valve - Ball Seat Ring
YXD,Top Outlet Pressure Valve - 'O' Ring
YXM,Top Outlet Pressure Valve - Pressure Plate
YXN,Top Outlet Pressure Valve - Seat Ring
YXO,Top Outlet Butterfly Valve 'O' Ring
YXP,Top Outlet Butterfly Valve - Closure Plate
YXR,Top Outlet Butterfly Valve - Closure Plate Seat Ring
YXS,Top Outlet Butterfly Valve - Spindle
YXT,Tank Shell Exterior
YXW,Welded-in Flange / 3 inch  Valve 
YYW,Welded-in Flange / 1 1/2 inch  Valve 
YZW,Welded-in Flange / 2 inch  Valve 
ZZZ,Not Applicable
