code,name
DAH,"Door Complete, with Hardware"
DCA,Door with Hardware - Corrugated
DCE,DCM 8 Controller
DCS,"Door, Customs Seal Point"
DCU,Door Curtain
DEF,"Drop End Frame, Collapsible Flat Rack"
DFA,Door with Hardware - Flat
DFS,Door/Front Sill Stiffener
DGR,Door Gear Complete
DGS,Diesel Gen Socket and Cap
DHB,Door Hinge Bush
DHC,Door Handle Catch
DHL,Door Handle Lock Assembly
DHR,Door Handle Retainer
DIK,Defrost Interval Selector Knob
DIS,Defrost Interval Selector Switch
DKA,Automatic Drain
DKK,Self Opening Drain (Kazoo)
DKS,Semi automatic drain
DPA,Drain Pan
DPH,Drain Port Defrost Heaters
DPL,Door Stop/Slam Plate
DPR,Door Plate Rivets
DRA,Drain Plug Assembly
DRB,Drive Belt
DRC,Filter Drier Strap / Clamp
DRD,Drier Fixings  #
DRF,Drier Filter
DRH,Door Chain Hook
DRK,Drain Tube - Condenser #
DRL,Door Retainer Lug
DRN,Drain Tube
DRP,Drain Plug
DRS,Roller Shutter Door
DRT,Door Retainer
DSA,Door Striker - Aluminium #
DSB,Door Stiffeners-Bottom Edge
DSC,Door Stiffeners-Center Line Edge
DSH,Door Stiffeners-Hinge Side Edge
DSL,Door Edge HKG5 #
DSM,Vertical Door Stiffener Panel
DSO,"Door Security Plug, Left Hand Door"
DSP,Door Striker - Plastic #
DSS,Door Striker - Stainless #
DST,Door Stiffeners-Top Edge
DSV,Door Stiffner - vertical edge
DTH,Drain Tube Defrost Heaters
DUA,DCU-A Pcb - RMC Controller
DUR,DCU-R Pcb - RMC Controller
DUT,DCU-3 Complete - RMC Controller
EAA,"Endwall, Complete"
EAP,FAV / Evap Panel Complete
EBE,Eight Way Earth Bar
EBR,Collapsible Flat Endwall Bottom Rail
ECB,Electrical Cable 460 Volt / Mains Cable 460 volt
ECC,Electrical Cable 230 Volt
ECD,"Cable Indicator Sleeve, 460 Volt"
ECE,"Cable Indicator Sleeve, 230 Volt"
ECF,Cable Receptacle (Elec Conn) Female #
ECG,Electric Cable Gland
ECK,Electric Cable Gland - Condenser Motor #
ECL,Evap Panel - Lower
ECM,Cable Receptacle (Elec Conn) Male #
ECN,Electric Cable Hose / Tube - Compressor
ECP,Evap Panel Door Pawls / Catches
ECQ,Electric Cable Gland -220/440 Volt #
ECR,Cable Retaining Device #
ECT,Electrical Cable Trays and Lids
ECX,Electrical Cable Grommet #
EDG,Evaporator Door Gasket Horizontal #
EDH,Electrical Diagram Holder
EDL,Electrical Door Hinge - Lower #
EDP,Electrical Circuit Diagram / Sheild (HGPV)
EDR,Electrical Door Screw Receptacle
EDS,HGMV Electrical Diagram / Shield
EDU,Electrical Door Hinge - Upper #
EDV,Evaporator Door Gasket Vertical #
EDX,Electrical Diagram Holder
EFH,End Frame Hinge Assembly
EFL,Evap Fan Housing ( LH ) #
EFR,Evap Fan Housing (RH ) #
EGA,Upper Screen - Air (Plastic) #
EGB,Upper Screen - Air (Poly) #
EGR,Cable Grommet #
EGS,Evap Grill - Side
EGT,Evap Grill - Top
EHA,Endwall Heel Assembly
EHB,Endwall Heel Plate
EHP,Endwall Heel Pin
EHR,Endwall Heel Pin Retainer
EHW,Endwall Heel Plate Wedge #
ELA,End Wall Latch Assembly
ELB,Endwall Latch Bush
ELF,Electrical Door Hinge - LH female #
ELH,End Wall Latch Handle
ELM,Electrical Door Hinge - LH male  #
ELN,End Wall Latch Pin
ELP,Endwall Latch Pin
ELR,Endwall Latch Pin Retainer
ELS,Endwall Latch Rubber Buffer
ELU,Endwall Latch Bracket
EMB,Evaporator Fan Motor Terminal Box Assembly
EMC,Evaporator Fan Motor Terminal Box Cover
EMG,Evaporator Fan Motor Terminal Box Gland
EMI,"Electrical, Others"
EMM,Evap Motor Mount
EPA,Side B/head Doors - LH #
EPB,Side B/head Doors - RH #
EPE,Electrical Plug 230 Volt
EPL,Electrical Plug 460 Volt / Mains Plug 460 volt
EPS,Power Supply Terminal Plate
ERB,DataCorder Battery Pack
ERC,Data Retrieval Socket Cap
ERD,Electronic Recorder/Data-Logger
ERF,Electrical Door Hinge - RH female #
ERI,Data Retrieval Port - USDA Receptacle (5PINS) #
ERM,Electrical Door Hinge - RH male #
ERO,Data Retrieval Port - USDA Receptacle (4 Pins) #
ERP,Data Retrieval Port
ERS,Data Retrieval Socket
ESP,Evaporator Panel - Side  #
ETB,Endwall Torsion Bar
ETC,Endwall Torsion Bar Bearing Brackets
ETM,Bulk head plate/panel centre #
ETP,Evap Panel Top
ETR,Flat Rack Endwall Toprail #
ETS,Ethylene Scrubber
EVS,Evap. Coil Defrost Temp. Sensor
FAB,Frame Refurbishment - Rear & Front Frames #
FAD,Frame Refurbishment - Rear Door Frame only #
FAE,Frame Refurbishment - Full Exterior excl Underside #
FAF,Frame Refurbishment - Front Frame only #
FAG,Fresh Air Valve Gasket
FAI,Frame Refurbishment - Full Exterior incl Underside #
FAN,Fan
FAO,Frame Refurbishment - Gooseneck & outriggers #
FAS,Reefer Frame Assembly
FAU,Frame Refurbishment - Full Frame incl underside #
FAX,Frame Refurbishment - Full Frame excl underside #
FBG,Frame Refurbishment - Rear /Front frames & gooseneck #
FBI,Frame Refurbishment - Front & Rear & Underside #
FCH,Refrigerant Charge
FCP,Custom Seal Point
FCS,Custom Seal Unit Frame
FDG,Frame Refurbishment - Rear Frame & gooseneck #
FFG,Frame Refurbishment - Front frame & gooseneck #
FGQ,Food Grade Quality #
FHD,Fuse Holder
FHS,Hat Section
FIK,Coil Assembly - Bolt Condenser #
FIV,Coil Assembly - Bolt Evaporator #
FIX,Fixing/Securing Device
FKL,Cond Fan Wheel -LH #
FKN,Fan - Condenser Motor  #
FKR,Condenser Fan Wheel -RH #
FLA,Forklift Pocket Assembly
FLB,Laminated Plank Flooring
FLL,Fork Pocket Lower Flange
FLP,Forklift Pocket Top Plate
FLS,Forklift Pocket Strap
FLT,ForkLift Pocket Whole Side Assembly
FLU,Fork Pocket Upper Flange
FLW,Forklift Pocket Web
FMB,Main Frame Bolts
FMI,"Frame, Other"
FPB,"Flooring, Plain Plank"
FPP,"Flooring, Plywood Plank"
FRC,Floor Recess Channel #
FRL,Spring Extension Link #
FRP,Post Spring Connection #
FRS,Flat Rack Springs
FRT,Flat Rack Torsion Bar  #
FSA,Floor Support Angle
FSP,Steel Plate of Combination Floor
FTP,Threshold Plate
FUN,Fumigation Nozzle
FUP,Fusible Plug
FUS,Fuse
FVL,Evaporator Fan Wheel - LH #
FVN,Evaporator Fan #
FVR,Evaporator Fan Wheel - RH #
FWA,Wood Floor Assembly
FWS,Combination Steel and Wood Floor
GAS,Frame Gaskets
GCT,Door Gasket corner Tape
GDI,Discharge Pressure Gauge
GHA,Grab Handle 
GIN,"Gasket, Inner"
GIO,"Gasket, Inner/Outer"
GLI,Evaporator Grille
GLK,Condenser Grille
GRP,GRP Panel Patch
GRS,Gasket Retainer Strip
GSA,Gauge bracket 
GSL,Gauge line
GSR,Gen Set Rubbing Strip
GSU,Suction Pressure Gauge
GTA,Gasket Assembly
GTH,Evaporator Door Horizontal Seal
GTL,Gasket - Aluminium
GTO,"Gasket, Outer"
GTP,Gasket - Plastic
GTV,Evaporator Door Vertical Seal
HAD,Discharge Hatch Assembly
HAL,Loading Hatch Assembly
HAP,Heater Access Panel
HCL,"Clamping Device, Lower"
HCP,Hatch Custom Point
HCU,"Clamping Device, Upper"
HCV,Hatch Cover
HDL,Drain Pan Heater - LH #
HDP,Drain Pan Defrost Heaters
HDR,Drain Pan Heater - RH #
HDS,Hatch Discharge Sleeve
HEP,Header Extension Plate
HEX,Heat Exchanger
HGA,Hinge Assembly
HGB,Hinge Blade
HGP,Hinge Pin
HGT,Hatch Gasket
HHC,Hatch Handle Catch
HHG,Hatch Hinge
HHR,Hatch Handle Retainer
HHS,Heater Holding Back Strip
HLB,Hatch Locking Bar
HLH,Hatch Locking Handle
HLM,Hatch Locking Mechanism
HMI,Other Reefer Defrost/Heating Devices
HMT,Hourmeter
HPC,Header Pin Chain
HPH,Header Pin Handle
HPP,Header Hinge Pin
HRA,Hanging Rail Assembly
HRB,Hanging Rail Bar
HRH,Hanging Rail Hook
HUC,Humidity Controller
HUM,Humidifier
HUS,Humidty Sensor
HVC,Evaporator Coil Heaters
HVM,High Voltage Module
HWD,Hardware - Delamination Bolt #
HWH,Hardware - Huckbolts #
HWR,"Hardware, Screws, Bolts"
HXC,Cascade heat ecchanger
ICU,Interior Refurbishment - Complete & Underside #
IDB,Container Identification Device Battery
IFQ,Compressor/Frame Insulation
IFT,Interior Refurbishment - Front wall only #
ILA,Interlink Ring
ILB,Interlink Bar
ILC,Interlocking Bolt Assembly
ILD,Interlocking Bolt
ILH,Interlocking Bolt Handle
ILK,Interlocking Bolt Bracket
ILL,Interlocking Bolt Latch
ILP,Interlock Casting Pocket  #
ILS,Interlocking Bolt Backstop
INC,Interior Refurbishment - Complete #
INP,Inner Panel
IOB,I/O PCB
IRA,Interior Refurbishment - Complete & Roof #
IRR,Interior Refurbishment - Rear Doors only #
ISL,Suction Line Insulation
ISW,Interior Refurbishment - One side only #
ITP,Intermediate Post (Openside)
ITQ,Timber Slats (Openside)
JAA,Frame Assembly
JAB,Control Box
JAC,Cover
JAD,Door
JAF,Forklift Pocket
JAH,Hardware
JAL,Mounting Pin
JAM,Markings
JAO,Other Components
JAP,Panel
JAU,Mounting Clamp
JBA,Circuit Breaker 460 Volt
JBB,Circuit Board
JBC,Circuit Breaker 230 Volt
JBD,Circuit Breaker 12 Volt
JBF,Compressor Terminal Box - Front #
JBR,Compressor Terminal Box - Back #
JDB,Water Hose
JDD,Fuel Hose
JDO,Oil Hose
JDP,Piping
JEB,Battery Charger Receptacle
JED,Battery Hold-down
JEE,Exciter Gasket Cover
JEF,Battery Charger Plug
JEG,Glow Plugs
JEH,Hourmeter (gen set)
JEJ,Battery Clamps
JEK,Water Temperature Sensor
JEL,Alternator
JEM,Starter Motor Solenoid
JEN,Ammeter
JEO,Battery
JER,Regulator
JES,Starter Motor
JET,Receptacle 230 Volt
JEU,Receptacle 460 Volt
JEY,Wiring General
JFB,Compressor Terminal Box - Front w/o connections #
JFF,"Fuel Filter, Single or Primary"
JFG,Fuel Gauge
JFH,Fuel Heater
JFI,Injection Pump
JFO,Injection Nozzle
JFP,Fuel Hand Pump
JFR,Engine Fuel Strainer
JFS,"Fuel Filter, Secondary"
JFT,Fuel Tank
JGC,"Gasket, Cylinder Head Cover"
JGE,Gasket Exhaust Manifold
JGF,"Gasket, Cyl. Block Front Cover"
JGH,"Gasket, Cylinder Head"
JGI,"Gasket, Intake Manifold"
JGO,Oil Pan Gasket
JGW,Water Pump O-ring
JIC,Clamps
JIF,Fasteners
JJF,Radiator Cap
JJH,Radiator Hose
JJR,Radiator Assembly
JJS,Radiator Shock Absorber
JKD,Thermostat (GENSET)
JMA,Alternator Assembly
JMB,Alternator Bearing
JMD,Alternator Disc Rotor Drive
JME,Alternator Exciter Field
JMN,"Alternator Diode, Negative"
JMP,"Alternator Diode, Positive"
JMR,Alternator Rotor
JMS,Alternator Stator
JNA,Engine Assembly
JNB,Engine Bearing
JNC,Engine Cylinder Head Cover
JND,Engine Air Cleaner
JNE,Engine Belt
JNF,Engine Fan
JNG,Oil Pressure Gauge
JNH,Engine Cylinder Head
JNI,Idler
JNJ,Crankshaft Bearings
JNL,Oil Filter
JNM,Muffler/Silencer
JNP,Piston Assembly
JNQ,Engine Exhaust Manifold
JNR,Bearing and Rod Assembly
JNS,Engine Bowl Strainer
JNU,Oil Pan
JNV,Crankshaft GEN.
JNX,Engine Exhaust Elbow
JNY,Idler Pulley
JNZ,Rain Cap
JOD,Diesel Fuel
JOF,Anti-Freeze (Fuel)
JOG,Oil Level Gauge
JOO,Oil
JOT,Oil Temperature Gauge
JPA,J-Plug Assembly / Wiring Harness to Controller
JPB,J-Plug Assembly / Wiring Harness - Contrlr - Data Recorder  #
JPC,J-Plug Assembly / Wiring Harness - Display Module - Contrlr #
